Name,Address,City,State,Zip Code,Latitude,Longitude,Category,Review Count,Rating
Indigo,"800 Boulevard de Maisonneuve E Montreal, QC H2L 4L8 Canada",Montreal,QC,H2L 4L8,45.51621096,-73.5600489132226,Parking,0,0.0
Vincipark,"721 Viger Ouest Montreal, QC H3B 4L1 Canada",Montreal,QC,H3B 4L1,45.5008926,-73.5641632,Parking,3,1.0
Indigo,"1111 Rue Saint-Urbain Montreal, QC H2Z 1Y6 Canada",Montreal,QC,H2Z 1Y6,45.50736536013042,-73.56124180000002,Parking,0,0.0
Indigo,"380 Rue Saint-Antoine O Montreal, QC H2Y 3X7 Canada",Montreal,QC,H2Y 3X7,45.50240089,-73.56090355,Parking,0,0.0
Indigo,"87 Rue Saint-Antoine O Montreal, QC H2Z 1G9 Canada",Montreal,QC,H2Z 1G9,45.505955,-73.558266,Parking,0,0.0
Indigo,"500 Place d'Armes Montreal, QC H2Y 2W2 Canada",Montreal,QC,H2Y 2W2,45.50429896007813,-73.55737042331384,Parking,0,0.0
Mr Clean Car Wash,"422 Rue Notre Dame O Montreal, QC H2Y 1V3 Canada",Montreal,QC,H2Y 1V3,45.5013274478598,-73.5595862567425,Parking,1,5.0
Indigo,"1600 Boulevard René-Lévesque O Montreal, QC H3H 1P9 Canada",Montreal,QC,H3H 1P9,45.49356415,-73.57459247186966,Parking,0,0.0
Indigo,"445 Rue Saint-Jean-Baptiste Marriott SpringHill Suites Montreal, QC H2Y 2Z7 Canada",Montreal,QC,H2Y 2Z7,45.50629673416289,-73.55451495096864,Parking,0,0.0
Indigo,"100 Alexis-Nihon Boulevard Montreal, QC H4M 2P1 Canada",Montreal,QC,H4M 2P1,45.49663132672796,-73.6776272860708,Parking,0,0.0
Indigo,"2021 Avenue Atwater Montreal, QC H3H 2P2 Canada",Montreal,QC,H3H 2P2,45.490531,-73.586085,Parking,0,0.0
INDIGO,"304 Rue Saint-Paul O Montreal, QC H2Y 2A3 Canada",Montreal,QC,H2Y 2A3,45.501525385242616,-73.55583908831882,Parking,0,0.0
Indigo,"420 Rue Saint-François-Xavier Montreal, QC H2Y 2S9 Canada",Montreal,QC,H2Y 2S9,45.50292918,-73.55578436,Parking,0,0.0
Stationnement Safeway,"2015 Rue Peel Suite 460 Montreal, QC H3A 1T8 Canada",Montreal,QC,H3A 1T8,45.5011811,-73.57487641914713,Parking,0,0.0
Indigo,"225 Rue Peel Montreal, QC H3C 0P8 Canada",Montreal,QC,H3C 0P8,45.49440873901819,-73.55840117225873,Parking,0,0.0
Indigo,"305 Rue de la Montagne Montreal, QC H3C 2B2 Canada",Montreal,QC,H3C 2B2,45.492323721034566,-73.56239278387044,Parking,0,0.0
Indigo,"1500 Avenue Atwater Montreal, QC H3Z 1X5 Canada",Montreal,QC,H3Z 1X5,45.48862186997482,-73.58730697100344,Parking,0,0.0
Impark,"1250 Boulevard René-Lévesque O Parking Lot 802 Montreal, QC H2L 3Y7 Canada",Montreal,QC,H2L 3Y7,45.497204,-73.5704708,Parking,0,0.0
Indigo,"4101 Rue Molson Montreal, QC H1Y 3L1 Canada",Montreal,QC,H1Y 3L1,45.54150076,-73.56418241,Parking,0,0.0
Indigo,"3535 Chemin Queen Mary Montreal, QC H3V 1H8 Canada",Montreal,QC,H3V 1H8,45.49587324,-73.61910161,Parking,0,0.0
Indigo,"1225 Rue Saint-Antoine O Montreal, QC H3C 5L2 Canada",Montreal,QC,H3C 5L2,45.495729,-73.569017,Parking,0,0.0
Park'N Fly,"Stationnement Montréal Valet 12155 Chemin Côte-de-Liesse Dorval, QC H9P 1B4 Canada",Dorval,QC,H9P 1B4,45.4547062,-73.7354147,Parking,13,2.2
